step,loss,acc_same,acc_deeper
200,0.049708,1.000000,0.004000
400,0.014885,1.000000,0.014000
600,0.593007,0.324000,0.031000
800,0.450781,0.432000,0.039000
1000,0.329775,0.512000,0.046000
1200,0.308181,0.546000,0.067000
1400,0.185034,0.582000,0.069000
1600,0.140639,0.603000,0.070000
1800,0.176128,0.629000,0.060000
2000,0.110324,0.657000,0.067000
2200,0.097761,0.681000,0.065000
2400,0.094745,0.723000,0.070000
2600,0.078365,0.733000,0.070000
2800,0.082145,0.745000,0.075000
3000,0.075410,0.764000,0.061000
3200,0.057601,0.778000,0.067000
3400,0.064690,0.798000,0.061000
3600,0.069482,0.808000,0.067000
3800,0.058581,0.793000,0.065000
4000,0.042938,0.799000,0.064000
4200,0.640364,0.241000,0.092000
4400,0.636963,0.244000,0.101000
4600,0.533972,0.244000,0.108000
4800,0.453114,0.260000,0.111000
5000,0.399767,0.263000,0.115000
